"CpG","proportion"
"cg21364772",0.006
"cg21494642",0.006
"cg21723696",0.006
"cg21912308",0.006
"cg22179888",0.006
"cg23127995",0.006
"cg23247655",0.006
"cg23369928",0.006
"cg23455759",0.006
"cg23657690",0.006
"cg24138084",0.006
"cg24258154",0.006
"cg24342406",0.006
"cg24482127",0.006
"cg24504300",0.006
"cg24544147",0.006
"cg24671250",0.006
"cg24741238",0.006
"cg24857608",0.006
"cg24863802",0.006
"cg24923927",0.006
"cg25063710",0.006
"cg25123033",0.006
"cg25514427",0.006
"cg26122495",0.006
"cg26457165",0.006
"cg26540943",0.006
"cg26606552",0.006
"cg26834424",0.006
"cg27045390",0.006
"cg27218535",0.006
"cg27384106",0.006
"cg27496085",0.006
"cg27515272",0.006
"cg27548075",0.006
"cg27633198",0.006
"cg00006815",0.005
"cg00046099",0.005
"cg00263806",0.005
"cg00330555",0.005
"cg00344532",0.005
"cg00399450",0.005
"cg00594844",0.005
"cg00723997",0.005
"cg00768439",0.005
"cg00896517",0.005
"cg01058079",0.005
"cg01215061",0.005
"cg01238039",0.005
"cg01363850",0.005
"cg01724210",0.005
"cg01798375",0.005
"cg01802138",0.005
"cg01960534",0.005
"cg01988541",0.005
"cg02033323",0.005
"cg02135001",0.005
"cg02302131",0.005
"cg02830187",0.005
"cg02877744",0.005
"cg02890632",0.005
"cg03183106",0.005
"cg03312851",0.005
"cg03577944",0.005
"cg03631021",0.005
"cg03647307",0.005
"cg03769817",0.005
"cg03779543",0.005
"cg03788849",0.005
"cg03805456",0.005
"cg03885028",0.005
"cg03895284",0.005
"cg04190662",0.005
"cg04317926",0.005
"cg04437234",0.005
"cg04492048",0.005
"cg04777103",0.005
"cg04791822",0.005
"cg04935261",0.005
"cg05088006",0.005
"cg05230053",0.005
"cg05400784",0.005
"cg05532403",0.005
"cg05554396",0.005
"cg05554799",0.005
"cg05560472",0.005
"cg05629323",0.005
"cg05638634",0.005
"cg05893422",0.005
"cg05996419",0.005
"cg06099218",0.005
"cg06104510",0.005
"cg06438901",0.005
"cg06453471",0.005
"cg06475150",0.005
"cg06496590",0.005
"cg06649034",0.005
"cg06810133",0.005
"cg06942445",0.005
"cg07068853",0.005
"cg07082075",0.005
"cg07204290",0.005
"cg07381502",0.005
"cg07476668",0.005
"cg07508090",0.005
"cg07653728",0.005
"cg07903515",0.005
"cg07919695",0.005
"cg07920317",0.005
"cg07952579",0.005
"cg08076987",0.005
"cg08156396",0.005
"cg08198204",0.005
"cg08582620",0.005
"cg08627233",0.005
"cg08691687",0.005
"cg08826497",0.005
"cg08900145",0.005
"cg09006810",0.005
"cg09134165",0.005
"cg09181401",0.005
"cg09425262",0.005
"cg09603684",0.005
"cg09695415",0.005
"cg09721174",0.005
"cg10050962",0.005
"cg10062311",0.005
"cg10162698",0.005
"cg10167385",0.005
"cg10326508",0.005
"cg10455133",0.005
"cg10818317",0.005
"cg10834132",0.005
"cg11081794",0.005
"cg11164993",0.005
"cg11165443",0.005
"cg11184796",0.005
"cg11306781",0.005
"cg11493323",0.005
"cg11604239",0.005
"cg12071297",0.005
"cg12116395",0.005
"cg12145026",0.005
"cg12193043",0.005
"cg12290397",0.005
"cg12417438",0.005
"cg12440269",0.005
"cg12444168",0.005
"cg12583822",0.005
"cg12642693",0.005
"cg12645617",0.005
"cg12671792",0.005
"cg12832740",0.005
"cg12950231",0.005
"cg13082192",0.005
"cg13134425",0.005
"cg13140825",0.005
"cg13154234",0.005
"cg13274433",0.005
"cg13284132",0.005
"cg13517065",0.005
"cg13525739",0.005
"cg13558151",0.005
"cg13613450",0.005
"cg13762255",0.005
"cg13810915",0.005
"cg13829077",0.005
"cg13833857",0.005
"cg14191048",0.005
"cg14196261",0.005
"cg14258356",0.005
"cg14314132",0.005
"cg14474963",0.005
"cg14506716",0.005
"cg14699869",0.005
"cg14990368",0.005
"cg15034216",0.005
"cg15061806",0.005
"cg15101931",0.005
"cg15133558",0.005
"cg15167505",0.005
"cg15232885",0.005
"cg15420763",0.005
"cg15705150",0.005
"cg15732204",0.005
"cg15904427",0.005
"cg16227684",0.005
"cg16404900",0.005
"cg16431713",0.005
"cg16442842",0.005
"cg16617243",0.005
"cg16752675",0.005
"cg16801826",0.005
"cg16936021",0.005
"cg16984885",0.005
"cg17552006",0.005
"cg17558827",0.005
"cg17599673",0.005
"cg17624691",0.005
"cg17729873",0.005
"cg17878446",0.005
"cg18129562",0.005
"cg18380432",0.005
"cg18389752",0.005
"cg18655128",0.005
"cg18742441",0.005
"cg18898763",0.005
"cg18923230",0.005
"cg19023031",0.005
"cg19137217",0.005
"cg19453486",0.005
"cg19602178",0.005
"cg19755272",0.005
"cg19922518",0.005
"cg19992083",0.005
"cg20010130",0.005
"cg20062142",0.005
"cg20077602",0.005
"cg20086286",0.005
"cg20149693",0.005
"cg20497120",0.005
"cg20522855",0.005
"cg21035371",0.005
"cg21059148",0.005
"cg21193180",0.005
"cg21290460",0.005
"cg21517954",0.005
"cg21681732",0.005
"cg21733638",0.005
"cg21747330",0.005
"cg21765125",0.005
"cg22071258",0.005
"cg22250089",0.005
"cg22288147",0.005
"cg22398624",0.005
"cg22773241",0.005
"cg22954828",0.005
"cg22971145",0.005
"cg23024636",0.005
"cg23192736",0.005
"cg23194060",0.005
"cg23232361",0.005
"cg23249584",0.005
"cg23553400",0.005
"cg23687192",0.005
"cg23778144",0.005
"cg23987198",0.005
"cg24034992",0.005
"cg24224113",0.005
"cg24468804",0.005
"cg24549608",0.005
"cg24649394",0.005
"cg24758429",0.005
"cg24762730",0.005
"cg24862263",0.005
"cg24923543",0.005
"cg25384790",0.005
"cg25508321",0.005
"cg25553924",0.005
"cg25730281",0.005
"cg25812668",0.005
"cg25823790",0.005
"cg25910467",0.005
"cg25911220",0.005
"cg26046121",0.005
"cg26155503",0.005
"cg26536952",0.005
"cg26583532",0.005
"cg26728959",0.005
"cg27254181",0.005
"cg27313362",0.005
"cg00151468",0.004
"cg00235887",0.004
"cg00378717",0.004
"cg00387056",0.004
"cg00584971",0.004
"cg00585631",0.004
"cg00704143",0.004
"cg00765885",0.004
"cg00812634",0.004
"cg00822998",0.004
"cg00849191",0.004
"cg00901987",0.004
"cg00911055",0.004
"cg01043281",0.004
"cg01080552",0.004
"cg01099541",0.004
"cg01123965",0.004
"cg01169440",0.004
"cg01260914",0.004
"cg01286388",0.004
"cg01316390",0.004
"cg01404374",0.004
"cg01408383",0.004
"cg01490258",0.004
"cg01511985",0.004
"cg01530521",0.004
"cg01530912",0.004
"cg01564045",0.004
"cg01656579",0.004
"cg01730177",0.004
"cg01747155",0.004
"cg01832419",0.004
"cg01843978",0.004
"cg02016561",0.004
"cg02022247",0.004
"cg02031980",0.004
"cg02032561",0.004
"cg02058632",0.004
"cg02061213",0.004
"cg02095995",0.004
"cg02162427",0.004
"cg02176071",0.004
"cg02198544",0.004
"cg02223423",0.004
"cg02226388",0.004
"cg02263717",0.004
"cg02267561",0.004
"cg02297051",0.004
"cg02341380",0.004
"cg02396946",0.004
"cg02408974",0.004
"cg02454670",0.004
"cg02557563",0.004
"cg02632506",0.004
"cg02718056",0.004
"cg02801155",0.004
"cg02882301",0.004
"cg02923300",0.004
"cg03068698",0.004
"cg03121419",0.004
"cg03280420",0.004
"cg03329583",0.004
"cg03571863",0.004
"cg03611167",0.004
"cg03672021",0.004
"cg03700643",0.004
"cg03757053",0.004
"cg03900860",0.004
"cg03908845",0.004
"cg04032861",0.004
"cg04177426",0.004
"cg04178271",0.004
"cg04282422",0.004
"cg04358820",0.004
"cg04549511",0.004
"cg04583508",0.004
"cg04637219",0.004
"cg04647094",0.004
"cg04702368",0.004
"cg04712194",0.004
"cg04727236",0.004
"cg04734394",0.004
"cg04734654",0.004
"cg04745408",0.004
"cg04764476",0.004
"cg04805442",0.004
"cg04821091",0.004
"cg04822803",0.004
"cg04895515",0.004
"cg04936081",0.004
"cg04980470",0.004
"cg05097705",0.004
"cg05145435",0.004
"cg05175204",0.004
"cg05193067",0.004
"cg05212419",0.004
"cg05288026",0.004
"cg05335577",0.004
"cg05424879",0.004
"cg05434903",0.004
"cg05453458",0.004
"cg05548415",0.004
"cg05551025",0.004
"cg05551403",0.004
"cg05558522",0.004
"cg05592527",0.004
"cg05630320",0.004
"cg05740959",0.004
"cg05866836",0.004
"cg05873659",0.004
"cg05898931",0.004
"cg05912094",0.004
"cg06093412",0.004
"cg06130360",0.004
"cg06168702",0.004
"cg06230327",0.004
"cg06267401",0.004
"cg06272245",0.004
"cg06392956",0.004
"cg06411441",0.004
"cg06504563",0.004
"cg06574138",0.004
"cg06600517",0.004
"cg06630839",0.004
"cg06659128",0.004
"cg06667703",0.004
"cg06700462",0.004
"cg06779802",0.004
"cg06792724",0.004
"cg06845581",0.004
"cg06958747",0.004
"cg06980881",0.004
"cg07059500",0.004
"cg07195469",0.004
"cg07419178",0.004
"cg07434188",0.004
"cg07492878",0.004
"cg07656445",0.004
"cg07758041",0.004
"cg07761012",0.004
"cg07867687",0.004
"cg07941506",0.004
"cg08061308",0.004
"cg08248532",0.004
"cg08316488",0.004
"cg08338641",0.004
"cg08341088",0.004
"cg08489793",0.004
"cg08626646",0.004
"cg08681413",0.004
"cg08812268",0.004
"cg08812937",0.004
"cg08847243",0.004
"cg08992687",0.004
"cg09162079",0.004
"cg09284428",0.004
"cg09316905",0.004
"cg09525227",0.004
"cg09546877",0.004
"cg09551204",0.004
"cg09676788",0.004
"cg09726073",0.004
"cg09891468",0.004
"cg09953945",0.004
"cg10101479",0.004
"cg10107975",0.004
"cg10142252",0.004
"cg10190616",0.004
"cg10417695",0.004
"cg10513418",0.004
"cg10517173",0.004
"cg10530128",0.004
"cg10718795",0.004
"cg10756523",0.004
"cg10858432",0.004
"cg10896885",0.004
"cg10921219",0.004
"cg11031201",0.004
"cg11244843",0.004
"cg11269793",0.004
"cg11271197",0.004
"cg11308037",0.004
"cg11379809",0.004
"cg11454836",0.004
"cg11492411",0.004
"cg11598929",0.004
"cg11641061",0.004
"cg11799529",0.004
"cg12032246",0.004
"cg12100307",0.004
"cg12108689",0.004
"cg12109000",0.004
"cg12158214",0.004
"cg12230162",0.004
"cg12254163",0.004
"cg12263679",0.004
"cg12461044",0.004
"cg12502529",0.004
"cg12622895",0.004
"cg12697360",0.004
"cg12756338",0.004
"cg12793562",0.004
"cg12829894",0.004
"cg12888005",0.004
"cg13011976",0.004
"cg13030539",0.004
"cg13147787",0.004
"cg13219833",0.004
"cg13267486",0.004
"cg13370412",0.004
"cg13401681",0.004
"cg13492609",0.004
"cg13603654",0.004
"cg13638305",0.004
"cg13723069",0.004
"cg13768026",0.004
"cg13918808",0.004
"cg13951651",0.004
"cg13990751",0.004
"cg14021396",0.004
"cg14029201",0.004
"cg14106777",0.004
"cg14189244",0.004
"cg14343151",0.004
"cg14372520",0.004
"cg14387398",0.004
"cg14389665",0.004
"cg14457844",0.004
"cg14486641",0.004
"cg14539516",0.004
"cg14587850",0.004
"cg14601312",0.004
"cg14634755",0.004
"cg14765723",0.004
"cg14832266",0.004
"cg14873818",0.004
"cg14892037",0.004
"cg14914335",0.004
"cg14932771",0.004
"cg15000663",0.004
"cg15011248",0.004
"cg15157289",0.004
"cg15186531",0.004
"cg15210906",0.004
"cg15232921",0.004
"cg15237731",0.004
"cg15349380",0.004
"cg15401363",0.004
"cg15465642",0.004
"cg15480287",0.004
"cg15484352",0.004
"cg15570803",0.004
"cg15617976",0.004
"cg15700318",0.004
"cg15887754",0.004
"cg15915320",0.004
"cg16118600",0.004
"cg16181613",0.004
"cg16236314",0.004
"cg16242750",0.004
"cg16315447",0.004
"cg16320255",0.004
"cg16414561",0.004
"cg16628068",0.004
"cg17174422",0.004
"cg17378100",0.004
"cg17511128",0.004
"cg17513789",0.004
"cg17959735",0.004
"cg18082723",0.004
"cg18148619",0.004
"cg18166152",0.004
"cg18305991",0.004
"cg18396806",0.004
"cg18432393",0.004
"cg18471285",0.004
"cg18490362",0.004
"cg18536669",0.004
"cg18626864",0.004
"cg18689730",0.004
"cg18818432",0.004
"cg18955863",0.004
"cg18987659",0.004
"cg19011603",0.004
"cg19168249",0.004
"cg19344820",0.004
"cg19429927",0.004
"cg19579913",0.004
"cg19715436",0.004
"cg19780684",0.004
"cg19918604",0.004
"cg19931385",0.004
"cg19936302",0.004
"cg20054074",0.004
"cg20063333",0.004
"cg20079335",0.004
"cg20081172",0.004
"cg20208613",0.004
"cg20258741",0.004
"cg20309540",0.004
"cg20319903",0.004
"cg20355681",0.004
"cg20444240",0.004
"cg20482568",0.004
"cg20519277",0.004
"cg20546893",0.004
"cg20612588",0.004
"cg20816299",0.004
"cg20816612",0.004
"cg20819178",0.004
"cg20852041",0.004
"cg21137707",0.004
"cg21175761",0.004
"cg21267792",0.004
"cg21268806",0.004
"cg21284636",0.004
"cg21360798",0.004
"cg21378690",0.004
"cg21431139",0.004
"cg21513092",0.004
"cg21604054",0.004
"cg21760862",0.004
"cg22044840",0.004
"cg22214780",0.004
"cg22745747",0.004
"cg23176354",0.004
"cg23213052",0.004
"cg23387422",0.004
"cg23475462",0.004
"cg23547619",0.004
"cg23627980",0.004
"cg23673620",0.004
"cg23709290",0.004
"cg23800739",0.004
"cg23919845",0.004
"cg23939077",0.004
"cg24101388",0.004
"cg24113411",0.004
"cg24386737",0.004
"cg25080801",0.004
"cg25124605",0.004
"cg25227163",0.004
"cg25285723",0.004
"cg25308681",0.004
"cg25321762",0.004
"cg25442844",0.004
"cg25492195",0.004
"cg25687307",0.004
"cg25714218",0.004
"cg25863147",0.004
"cg25908629",0.004
"cg26070134",0.004
"cg26301245",0.004
"cg26414410",0.004
"cg26457272",0.004
"cg26482373",0.004
"cg26605073",0.004
"cg26802917",0.004
"cg26822601",0.004
"cg26845351",0.004
"cg26909705",0.004
"cg26978843",0.004
"cg27080287",0.004
"cg27170820",0.004
"cg27204474",0.004
"cg27224586",0.004
"cg27273125",0.004
"cg27277239",0.004
"cg27298639",0.004
"cg27329995",0.004
"cg27351642",0.004
"cg27416781",0.004
"cg27608743",0.004
"cg00005617",0.003
"cg00011891",0.003
"cg00012395",0.003
"cg00027076",0.003
"cg00113623",0.003
"cg00140764",0.003
"cg00216997",0.003
"cg00224761",0.003
"cg00347850",0.003
"cg00359973",0.003
"cg00375140",0.003
"cg00391379",0.003
"cg00411843",0.003
"cg00435168",0.003
"cg00550141",0.003
"cg00651754",0.003
"cg00679603",0.003
"cg00735972",0.003
"cg00748144",0.003
"cg00823357",0.003
"cg00839517",0.003
"cg00877150",0.003
"cg00898895",0.003
"cg00951171",0.003
"cg00999867",0.003
"cg01004447",0.003
"cg01125381",0.003
"cg01137368",0.003
"cg01149369",0.003
"cg01203948",0.003
"cg01229591",0.003
"cg01257202",0.003
"cg01429118",0.003
"cg01451437",0.003
"cg01533391",0.003
"cg01540386",0.003
"cg01545447",0.003
"cg01566232",0.003
"cg01579322",0.003
"cg01643944",0.003
"cg01683788",0.003
"cg01738819",0.003
"cg01908742",0.003
"cg01918534",0.003
"cg02008709",0.003
"cg02157475",0.003
"cg02161824",0.003
"cg02179029",0.003
"cg02216746",0.003
"cg02260580",0.003
"cg02266928",0.003
"cg02353937",0.003
"cg02449136",0.003
"cg02456309",0.003
"cg02465785",0.003
"cg02502080",0.003
"cg02504617",0.003
"cg02523105",0.003
"cg02600772",0.003
"cg02624484",0.003
"cg02627787",0.003
"cg02634916",0.003
"cg02671603",0.003
"cg02671775",0.003
"cg02698275",0.003
"cg02743552",0.003
"cg02774154",0.003
"cg02791948",0.003
"cg02811156",0.003
"cg02932805",0.003
"cg02949713",0.003
"cg02998206",0.003
"cg03191083",0.003
"cg03350593",0.003
"cg03510610",0.003
"cg03512369",0.003
"cg03561088",0.003
"cg03575468",0.003
"cg03693842",0.003
"cg03706022",0.003
"cg03742148",0.003
"cg03892157",0.003
"cg03910337",0.003
"cg04024675",0.003
"cg04025582",0.003
"cg04064330",0.003
"cg04134763",0.003
"cg04150893",0.003
"cg04182378",0.003
"cg04303560",0.003
"cg04369555",0.003
"cg04388383",0.003
"cg04414946",0.003
"cg04428826",0.003
"cg04437194",0.003
"cg04533591",0.003
"cg04562662",0.003
"cg04626105",0.003
"cg04856605",0.003
"cg04968233",0.003
"cg05193141",0.003
"cg05199771",0.003
"cg05257372",0.003
"cg05278788",0.003
"cg05288927",0.003
"cg05396017",0.003
"cg05400670",0.003
"cg05424366",0.003
"cg05449469",0.003
"cg05462236",0.003
"cg05480640",0.003
"cg05547600",0.003
"cg05572834",0.003
"cg05606010",0.003
"cg05652828",0.003
"cg05806250",0.003
"cg05814909",0.003
"cg05878968",0.003
"cg05894744",0.003
"cg05899999",0.003
"cg05939629",0.003
"cg06002133",0.003
"cg06242392",0.003
"cg06285182",0.003
"cg06306968",0.003
"cg06384491",0.003
"cg06398113",0.003
"cg06416018",0.003
"cg06451893",0.003
"cg06563543",0.003
"cg06617418",0.003
"cg06659855",0.003
"cg06775967",0.003
"cg06814742",0.003
"cg06834235",0.003
"cg06836877",0.003
"cg06903200",0.003
"cg06987844",0.003
"cg06998540",0.003
"cg07189923",0.003
"cg07388258",0.003
"cg07393779",0.003
"cg07447868",0.003
"cg07461199",0.003
"cg07573912",0.003
"cg07652272",0.003
"cg07658614",0.003
"cg07686944",0.003
"cg07695603",0.003
"cg07764932",0.003
"cg07787840",0.003
"cg07801607",0.003
"cg07870985",0.003
"cg07872308",0.003
"cg07901493",0.003
"cg07907659",0.003
"cg07933757",0.003
"cg07945801",0.003
"cg07964550",0.003
"cg07983304",0.003
"cg08087512",0.003
"cg08113373",0.003
"cg08139636",0.003
"cg08264933",0.003
"cg08282969",0.003
"cg08298173",0.003
"cg08363247",0.003
"cg08407398",0.003
"cg08550539",0.003
"cg08573330",0.003
"cg08691404",0.003
"cg08783735",0.003
"cg08800033",0.003
"cg08834580",0.003
"cg08850124",0.003
"cg08873063",0.003
"cg08881159",0.003
"cg09038347",0.003
"cg09075057",0.003
"cg09092713",0.003
"cg09093493",0.003
"cg09120027",0.003
"cg09165815",0.003
"cg09210914",0.003
"cg09238868",0.003
"cg09275137",0.003
"cg09294666",0.003
"cg09396433",0.003
"cg09411587",0.003
"cg09422544",0.003
"cg09434946",0.003
"cg09453235",0.003
"cg09526164",0.003
"cg09662907",0.003
"cg09700700",0.003
"cg09773769",0.003
"cg09790289",0.003
"cg09896008",0.003
"cg09923855",0.003
"cg09989237",0.003
"cg09990556",0.003
"cg10054049",0.003
"cg10104771",0.003
"cg10105723",0.003
"cg10146853",0.003
"cg10155200",0.003
"cg10184151",0.003
"cg10247267",0.003
"cg10249130",0.003
"cg10259827",0.003
"cg10328012",0.003
"cg10341696",0.003
"cg10425032",0.003
"cg10517840",0.003
"cg10522101",0.003
"cg10551631",0.003
"cg10593416",0.003
"cg10614605",0.003
"cg10627583",0.003
"cg10905028",0.003
"cg10996370",0.003
"cg11024449",0.003
"cg11049750",0.003
"cg11152253",0.003
"cg11154719",0.003
"cg11213816",0.003
"cg11267496",0.003
"cg11307246",0.003
"cg11322406",0.003
"cg11396599",0.003
"cg11401180",0.003
"cg11425488",0.003
"cg11449070",0.003
"cg11465936",0.003
"cg11509733",0.003
"cg11551009",0.003
"cg11595135",0.003
"cg11661234",0.003
"cg11673471",0.003
"cg11722044",0.003
"cg11755655",0.003
"cg11862624",0.003
"cg11875624",0.003
"cg11936910",0.003
"cg11981212",0.003
"cg12030973",0.003
"cg12035596",0.003
"cg12047667",0.003
"cg12054566",0.003
"cg12153998",0.003
"cg12187321",0.003
"cg12308146",0.003
"cg12393253",0.003
"cg12405955",0.003
"cg12441612",0.003
"cg12454975",0.003
"cg12457021",0.003
"cg12470780",0.003
"cg12477608",0.003
"cg12519623",0.003
"cg12544391",0.003
"cg12553336",0.003
"cg12572807",0.003
"cg12591117",0.003
"cg12601934",0.003
"cg12689375",0.003
"cg12707233",0.003
"cg12728820",0.003
"cg12770204",0.003
"cg12995825",0.003
"cg13016553",0.003
"cg13052874",0.003
"cg13077484",0.003
"cg13087041",0.003
"cg13226591",0.003
"cg13324949",0.003
"cg13333049",0.003
"cg13460701",0.003
"cg13462484",0.003
"cg13475427",0.003
"cg13499473",0.003
"cg13572003",0.003
"cg13574945",0.003
"cg13582495",0.003
"cg13603097",0.003
"cg13652795",0.003
"cg13663706",0.003
"cg13723766",0.003
"cg13727630",0.003
"cg13740247",0.003
"cg13751956",0.003
"cg13766816",0.003
"cg13801593",0.003
"cg13861983",0.003
"cg13869660",0.003
"cg13894887",0.003
"cg13907504",0.003
"cg13937627",0.003
"cg14007660",0.003
"cg14053556",0.003
"cg14084448",0.003
"cg14098973",0.003
"cg14214586",0.003
"cg14338025",0.003
"cg14369228",0.003
"cg14369777",0.003
"cg14454242",0.003
"cg14562990",0.003
"cg14590681",0.003
"cg14624130",0.003
"cg14680768",0.003
"cg14799540",0.003
"cg14804093",0.003
"cg14866868",0.003
"cg14867863",0.003
"cg14878279",0.003
"cg14878844",0.003
"cg14920536",0.003
"cg15224006",0.003
"cg15240613",0.003
"cg15257930",0.003
"cg15277029",0.003
"cg15356502",0.003
"cg15364850",0.003
"cg15480060",0.003
"cg15481221",0.003
"cg15499467",0.003
"cg15579650",0.003
"cg15609578",0.003
"cg15681351",0.003
"cg15788279",0.003
"cg15830968",0.003
"cg16022279",0.003
"cg16029645",0.003
"cg16164539",0.003
"cg16177720",0.003
"cg16204757",0.003
"cg16235803",0.003
"cg16250105",0.003
"cg16267377",0.003
"cg16349029",0.003
"cg16393257",0.003
"cg16429439",0.003
"cg16452396",0.003
"cg16473795",0.003
"cg16523424",0.003
"cg16529483",0.003
"cg16561743",0.003
"cg16593418",0.003
"cg16594779",0.003
"cg16628997",0.003
"cg16668833",0.003
"cg16695688",0.003
"cg16703357",0.003
"cg16730652",0.003
"cg16800933",0.003
"cg16934986",0.003
"cg16949923",0.003
"cg17008556",0.003
"cg17062249",0.003
"cg17189778",0.003
"cg17285264",0.003
"cg17334225",0.003
"cg17340957",0.003
"cg17372893",0.003
"cg17383222",0.003
"cg17401837",0.003
"cg17535087",0.003
"cg17604152",0.003
"cg17607496",0.003
"cg17716100",0.003
"cg17718322",0.003
"cg17746999",0.003
"cg18013550",0.003
"cg18043449",0.003
"cg18055824",0.003
"cg18090198",0.003
"cg18273575",0.003
"cg18395382",0.003
"cg18412780",0.003
"cg18470455",0.003
"cg18513698",0.003
"cg18524099",0.003
"cg18625830",0.003
"cg18863647",0.003
"cg18936536",0.003
"cg18954243",0.003
"cg19056391",0.003
"cg19110434",0.003
"cg19301199",0.003
"cg19310420",0.003
"cg19310827",0.003
"cg19388557",0.003
"cg19408632",0.003
"cg19410841",0.003
"cg19415116",0.003
"cg19415339",0.003
"cg19432493",0.003
"cg19461772",0.003
"cg19471229",0.003
"cg19481953",0.003
"cg19583388",0.003
"cg19588428",0.003
"cg19718294",0.003
"cg19721057",0.003
"cg19743317",0.003
"cg19870652",0.003
"cg19888047",0.003
"cg19949137",0.003
"cg19979028",0.003
"cg20025055",0.003
"cg20038517",0.003
"cg20079039",0.003
"cg20128158",0.003
"cg20254607",0.003
"cg20347665",0.003
"cg20371422",0.003
"cg20438518",0.003
"cg20451904",0.003
"cg20519318",0.003
"cg20615833",0.003
"cg20662913",0.003
"cg20673834",0.003
"cg20699879",0.003
"cg20703187",0.003
"cg20773945",0.003
"cg20825323",0.003
"cg20979765",0.003
"cg21051662",0.003
"cg21113886",0.003
"cg21160279",0.003
"cg21240046",0.003
"cg21337115",0.003
"cg21388826",0.003
"cg21400566",0.003
"cg21530618",0.003
"cg21729549",0.003
"cg21801984",0.003
"cg21829416",0.003
"cg21854924",0.003
"cg22123924",0.003
"cg22342477",0.003
"cg22484503",0.003
"cg22527050",0.003
"cg22581244",0.003
"cg22606540",0.003
"cg22700850",0.003
"cg22912011",0.003
"cg22998863",0.003
"cg23021642",0.003
"cg23145724",0.003
"cg23245720",0.003
"cg23305427",0.003
"cg23544702",0.003
"cg23712855",0.003
"cg23832225",0.003
"cg23847469",0.003
"cg23849677",0.003
"cg23926715",0.003
"cg23929224",0.003
"cg23955970",0.003
"cg23984681",0.003
"cg24135371",0.003
"cg24136018",0.003
"cg24254925",0.003
"cg24264679",0.003
"cg24382689",0.003
"cg24389217",0.003
"cg24392532",0.003
"cg24436285",0.003
"cg24445152",0.003
"cg24489774",0.003
"cg24583598",0.003
"cg24609177",0.003
"cg24678093",0.003
"cg24680284",0.003
"cg24783624",0.003
"cg24805886",0.003
"cg24960979",0.003
"cg25206760",0.003
"cg25324159",0.003
"cg25366157",0.003
"cg25410898",0.003
"cg25449986",0.003
"cg25549901",0.003
"cg25564239",0.003
"cg25577319",0.003
"cg25647989",0.003
"cg25652053",0.003
"cg25676950",0.003
"cg25698940",0.003
"cg25790081",0.003
"cg26023866",0.003
"cg26197836",0.003
"cg26219205",0.003
"cg26348018",0.003
"cg26399113",0.003
"cg26438739",0.003
"cg26465522",0.003
"cg26518534",0.003
"cg26590811",0.003
"cg26670011",0.003
"cg26700574",0.003
"cg26740830",0.003
"cg26905196",0.003
"cg26964556",0.003
"cg27044041",0.003
"cg27053759",0.003
"cg27070532",0.003
"cg27161395",0.003
"cg27330188",0.003
"cg27437966",0.003
"cg27505021",0.003
"cg27559462",0.003
"cg27587954",0.003
"ch.X.772254F",0.003
"cg00033732",0.002
"cg00040923",0.002
"cg00081572",0.002
"cg00117663",0.002
"cg00135489",0.002
"cg00136034",0.002
"cg00145348",0.002
"cg00158454",0.002
"cg00189972",0.002
"cg00191758",0.002
"cg00230370",0.002
"cg00253811",0.002
"cg00291929",0.002
"cg00320936",0.002
"cg00328965",0.002
"cg00330078",0.002
"cg00338823",0.002
"cg00348113",0.002
"cg00374681",0.002
"cg00378950",0.002
"cg00381361",0.002
"cg00390049",0.002
"cg00420350",0.002
"cg00523861",0.002
"cg00525383",0.002
"cg00547789",0.002
"cg00550439",0.002
"cg00562316",0.002
"cg00581583",0.002
"cg00606069",0.002
"cg00661180",0.002
"cg00671009",0.002
"cg00698615",0.002
"cg00706755",0.002
"cg00744851",0.002
"cg00803922",0.002
"cg00805116",0.002
"cg00812293",0.002
"cg00817885",0.002
"cg00854164",0.002
"cg00855923",0.002
"cg00888842",0.002
"cg00908601",0.002
"cg00920960",0.002
"cg00953848",0.002
"cg00970939",0.002
"cg01038117",0.002
"cg01038820",0.002
"cg01058588",0.002
"cg01069311",0.002
"cg01078565",0.002
"cg01080862",0.002
"cg01098871",0.002
"cg01107515",0.002
"cg01109012",0.002
"cg01116153",0.002
"cg01177782",0.002
"cg01177972",0.002
"cg01225298",0.002
"cg01277952",0.002
"cg01290348",0.002
"cg01293417",0.002
"cg01314643",0.002
"cg01359309",0.002
"cg01383228",0.002
"cg01398912",0.002
"cg01434723",0.002
"cg01443141",0.002
"cg01445307",0.002
"cg01457333",0.002
"cg01522249",0.002
"cg01533115",0.002
"cg01547504",0.002
"cg01555661",0.002
"cg01560464",0.002
"cg01560885",0.002
"cg01573544",0.002
"cg01587597",0.002
"cg01588663",0.002
"cg01606688",0.002
"cg01638580",0.002
"cg01642231",0.002
"cg01674874",0.002
"cg01698523",0.002
"cg01703712",0.002
"cg01718602",0.002
"cg01727657",0.002
"cg01732428",0.002
"cg01733439",0.002
"cg01756638",0.002
"cg01804576",0.002
"cg01806799",0.002
"cg01828434",0.002
"cg01831199",0.002
"cg01831742",0.002
"cg01852560",0.002
"cg01866066",0.002
"cg01869765",0.002
"cg01886810",0.002
"cg01905377",0.002
"cg01911846",0.002
"cg01913024",0.002
"cg01932179",0.002
"cg01945196",0.002
"cg01951441",0.002
"cg01963147",0.002
"cg01969298",0.002
"cg01980515",0.002
"cg01985071",0.002
"cg02019635",0.002
"cg02025065",0.002
