Table S1: A list of CpG sites with methylation patterns in Figure 1 & Additional file 1: Fig. S1,,
cpg,color,pattern
cg26545730,grey,rest
cg26578373,red,A
cg26583344,red,A
cg26584339,red,A
cg26590811,red,A
cg26601187,grey,rest
cg26620546,red,A
cg26623222,black,C
cg26672162,red,A
cg26674826,red,A
cg26680189,red,A
cg26682103,red,A
cg26684826,black,C
cg26703319,red,A
cg26736837,black,C
cg26744454,red,A
cg26745032,red,A
cg26746069,red,A
cg26756979,red,A
cg26764180,red,A
cg26764972,red,A
cg26777746,red,A
cg26777760,red,A
cg26791257,red,A
cg26793903,grey,rest
cg26799772,red,A
cg26802102,red,A
cg26806511,red,A
cg26811602,red,A
cg26816294,green,B
cg26817974,red,A
cg26893124,red,A
cg26896756,red,A
cg26899005,black,C
cg26927606,red,A
cg26934726,grey,rest
cg26936230,red,A
cg26937310,red,A
cg26937423,red,A
cg26939525,red,A
cg26950400,red,A
cg26951364,red,A
cg26953856,black,C
cg26968501,red,A
cg26968620,grey,rest
cg26978843,black,C
cg27047283,red,A
cg27050343,black,C
cg27054331,red,A
cg27059259,red,A
cg27062326,red,A
cg27069132,red,A
cg27074040,black,C
cg27076487,red,A
cg27080287,red,A
cg27083627,red,A
cg27123903,red,A
cg27124847,red,A
cg27151711,red,A
cg27166673,red,A
cg27207144,red,A
cg27251926,red,A
cg27260927,red,A
cg27263894,red,A
cg27264374,red,A
cg27268405,red,A
cg27268436,red,A
cg27296089,red,A
cg27296664,grey,rest
cg27306636,green,B
cg27309655,red,A
cg27326620,red,A
cg27327591,red,A
cg27329995,grey,rest
cg27348515,grey,rest
cg27350602,red,A
cg27353825,red,A
cg27355009,black,C
cg27387615,red,A
cg27389648,grey,rest
cg27404676,grey,rest
cg27419028,red,A
cg27435491,red,A
cg27452062,grey,rest
cg27470278,red,A
cg27471304,red,A
cg27474516,red,A
cg27488875,red,A
cg27496085,grey,rest
cg27496708,red,A
cg27501007,red,A
cg27501723,red,A
cg27513289,red,A
cg27515272,red,A
cg27522270,green,B
cg27525527,red,A
cg27526317,green,B
cg27538352,black,C
cg27543728,black,C
cg27545041,red,A
cg27548075,red,A
cg27554875,red,A
cg27558057,red,A
cg27581839,red,A
cg27586390,red,A
cg27592925,red,A
cg27595778,red,A
cg27606669,red,A
cg27609342,red,A
cg27609596,red,A
cg27614967,black,C
cg27615468,red,A
cg27616996,red,A
cg27618278,black,C
cg27623334,grey,rest
cg27633753,red,A
cg27636290,green,B
cg27637296,black,C
cg27665489,red,A
cg00005617,grey,rest
cg00006815,red,A
cg00008932,grey,rest
cg00012395,black,C
cg00018204,black,C
cg00023415,black,C
cg00027454,black,C
cg00029931,red,A
cg00031235,black,C
cg00032666,black,C
cg00037117,black,C
cg00040419,grey,rest
cg00040455,red,A
cg00040923,grey,rest
cg00046099,red,A
cg00051952,black,C
cg00072587,grey,rest
cg00072799,grey,rest
cg00078867,red,A
cg00098732,grey,rest
cg00108056,red,A
cg00108737,black,C
cg00111239,red,A
cg00113623,red,A
cg00115511,red,A
cg00117066,black,C
cg00117663,black,C
cg00120172,black,C
cg00121904,red,A
cg00123001,black,C
cg00124708,black,C
cg00126657,black,C
cg00126698,grey,rest
cg00128197,red,A
cg00130498,grey,rest
cg00136787,black,C
cg00139547,red,A
cg00140189,grey,rest
cg00141845,grey,rest
cg00145348,red,A
cg00147819,grey,rest
cg00148031,green,B
cg00148587,grey,rest
cg00150363,red,A
cg00150874,grey,rest
cg00151234,red,A
cg00156802,black,C
cg00158454,red,A
cg00168417,grey,rest
cg00170369,black,C
cg00173270,black,C
cg00177456,black,C
cg00179446,red,A
cg00179598,black,C
cg00180631,grey,rest
cg00188257,grey,rest
cg00188409,grey,rest
cg00188971,black,C
cg00190642,black,C
cg00191052,red,A
cg00191758,red,A
cg00191903,black,C
cg00194519,grey,rest
cg00194585,black,C
cg00195237,grey,rest
cg00202711,grey,rest
cg00203568,red,A
cg00203804,black,C
cg00205905,grey,rest
cg00206332,grey,rest
cg00207916,black,C
cg00213805,red,A
cg00213853,red,A
cg00213957,red,A
cg00216997,red,A
cg00221961,grey,rest
cg00224026,black,C
cg00227584,red,A
cg00228620,grey,rest
cg00230685,red,A
cg00231549,green,B
cg00235887,grey,rest
cg00238131,grey,rest
cg00241051,grey,rest
cg00242233,black,C
cg00243747,black,C
cg00245012,red,A
cg00250879,grey,rest
cg00253811,red,A
cg00255219,red,A
cg00256358,black,C
cg00258480,red,A
cg00260448,red,A
cg00261039,green,B
cg00263759,black,C
cg00267352,purple,D
cg00267883,black,C
cg00271516,grey,rest
cg00272286,black,C
cg00276426,red,A
cg00279529,black,C
cg00279797,red,A
cg00290944,grey,rest
cg00291164,black,C
cg00291222,grey,rest
cg00291929,grey,rest
cg00292305,black,C
cg00295573,black,C
cg00303108,black,C
cg00321056,black,C
cg00323457,grey,rest
cg00328965,red,A
cg00329040,black,C
cg00331433,green,B
cg00337921,red,A
cg00347850,red,A
cg00348113,black,C
cg00349460,black,C
cg00355945,grey,rest
cg00357087,red,A
cg00358459,black,C
cg00359973,green,B
cg00360298,grey,rest
cg00363318,grey,rest
cg00366674,black,C
cg00368230,red,A
cg00369058,grey,rest
cg00369477,grey,rest
cg00374346,grey,rest
cg00375105,red,A
cg00378473,red,A
cg00379371,grey,rest
cg00379799,grey,rest
cg00379983,black,C
cg00382651,grey,rest
cg00387056,green,B
cg00387940,grey,rest
cg00389276,grey,rest
cg00389552,grey,rest
cg00389918,black,C
cg00390049,red,A
cg00391379,black,C
cg00400999,red,A
cg00401265,black,C
cg00402910,red,A
cg00403724,grey,rest
cg00404599,grey,rest
cg00406460,grey,rest
cg00409000,red,A
cg00409480,grey,rest
cg00411843,red,A
cg00412554,grey,rest
cg00419390,black,C
cg00420717,black,C
cg00422452,grey,rest
cg00426668,purple,D
cg00428012,red,A
cg00428314,red,A
cg00431602,red,A
cg00433220,red,A
cg00433890,black,C
cg00434413,black,C
cg00451631,grey,rest
cg00452819,green,B
cg00455738,grey,rest
cg00456723,black,C
cg00459767,black,C
cg00466819,grey,rest
cg00467547,black,C
cg00467854,green,B
cg00473051,green,B
cg00481999,red,A
cg00484111,grey,rest
cg00484940,red,A
cg00488364,grey,rest
cg00489811,green,B
cg00491350,black,C
cg00497084,black,C
cg00510327,black,C
cg00517765,black,C
cg00523465,grey,rest
cg00524424,grey,rest
cg00525383,red,A
cg00536175,black,C
cg00538420,red,A
cg00543604,black,C
cg00547789,red,A
cg00550141,black,C
cg00553200,grey,rest
cg00570097,black,C
cg00571700,black,C
cg00574800,black,C
cg00577623,grey,rest
cg00578645,grey,rest
cg00581583,red,A
cg00582864,black,C
cg00583858,grey,rest
cg00584971,red,A
cg00586321,black,C
cg00588456,black,C
cg00592494,black,C
cg00594844,black,C
cg00595697,black,C
cg00596686,black,C
cg00597858,red,A
cg00600110,black,C
cg00603890,red,A
cg00604086,red,A
cg00606069,black,C
cg00607036,red,A
cg00608151,grey,rest
cg00609239,grey,rest
cg00612628,black,C
cg00614938,grey,rest
cg00615010,black,C
cg00615738,green,B
cg00618396,red,A
cg00620602,black,C
cg00623388,red,A
cg00625743,black,C
cg00625841,grey,rest
cg00627024,red,A
cg00632130,black,C
cg00632374,red,A
cg00634642,red,A
cg00641092,red,A
cg00644637,black,C
cg00646140,green,B
cg00646659,red,A
cg00667781,red,A
cg00668694,green,B
cg00673020,grey,rest
cg00673685,grey,rest
cg00675244,black,C
cg00679603,black,C
cg00679726,grey,rest
cg00690049,red,A
cg00692892,black,C
cg00694968,black,C
cg00695046,grey,rest
cg00695324,purple,D
cg00698744,red,A
cg00705055,black,C
cg00713642,black,C
cg00714323,black,C
cg00715011,grey,rest
cg00718129,black,C
cg00718858,black,C
cg00719224,grey,rest
cg00721658,black,C
cg00722467,black,C
cg00723034,red,A
cg00723973,red,A
cg00724728,black,C
cg00725777,black,C
cg00725912,red,A
cg00730224,black,C
cg00735876,black,C
cg00735885,grey,rest
cg00738702,black,C
cg00739582,black,C
cg00739787,red,A
cg00741717,black,C
cg00742240,black,C
cg00743068,red,A
cg00743412,grey,rest
cg00744851,black,C
cg00748144,black,C
cg00750740,black,C
cg00752874,grey,rest
cg00757453,black,C
cg00762681,grey,rest
cg00763315,grey,rest
cg00763725,red,A
cg00763907,black,C
cg00765686,grey,rest
cg00765885,red,A
cg00768158,black,C
cg00768439,green,B
cg00769064,grey,rest
cg00771185,grey,rest
cg00772918,black,C
cg00775115,red,A
cg00775286,black,C
cg00779763,red,A
cg00780578,grey,rest
cg00781047,black,C
cg00781978,grey,rest
cg00783137,grey,rest
cg00785877,black,C
cg00787015,grey,rest
cg00788815,grey,rest
cg00790086,red,A
cg00799224,red,A
cg00800095,black,C
cg00803922,black,C
cg00804510,black,C
cg00805116,red,A
cg00805156,grey,rest
cg00809111,grey,rest
cg00810883,red,A
cg00812293,black,C
cg00813142,red,A
cg00813999,grey,rest
cg00815013,grey,rest
cg00815770,red,A
cg00816548,red,A
cg00817885,black,C
cg00819012,black,C
cg00820131,black,C
cg00822942,black,C
cg00822998,grey,rest
cg00823357,red,A
cg00825441,red,A
cg00829575,red,A
cg00832136,grey,rest
cg00834229,red,A
cg00839869,black,C
cg00850648,red,A
cg00854925,grey,rest
cg00854963,grey,rest
cg00855923,black,C
cg00861899,grey,rest
cg00868980,black,C
cg00869298,grey,rest
cg00874863,grey,rest
cg00877056,grey,rest
cg00877150,black,C
cg00878023,red,A
cg00881203,black,C
cg00881487,black,C
cg00881557,red,A
cg00883449,red,A
cg00890110,black,C
cg00898159,black,C
cg00901211,red,A
cg00901375,grey,rest
cg00901393,black,C
cg00902308,grey,rest
cg00908601,green,B
cg00909097,black,C
cg00909388,black,C
cg00910720,red,A
cg00911398,grey,rest
cg00911962,black,C
cg00914218,red,A
cg00917018,red,A
cg00920314,grey,rest
cg00920537,red,A
cg00920960,red,A
cg00926894,grey,rest
cg00929476,grey,rest
cg00931201,green,B
cg00932276,red,A
cg00933162,black,C
cg00934057,black,C
cg00935394,red,A
cg00936342,red,A
cg00936349,black,C
cg00937263,red,A
cg00938039,black,C
cg00939965,black,C
cg00940232,red,A
cg00941549,black,C
cg00947275,red,A
cg00948677,grey,rest
cg00953793,red,A
cg00958651,grey,rest
cg00960300,grey,rest
cg00960898,red,A
cg00962635,grey,rest
cg00963467,red,A
cg00965330,grey,rest
cg00966524,grey,rest
cg00968475,red,A
cg00969573,red,A
cg00975326,grey,rest
cg00977690,green,B
cg00979376,black,C
cg00981643,grey,rest
cg00984611,black,C
cg00994038,red,A
cg01001959,red,A
cg01003197,red,A
cg01004447,black,C
cg01004805,red,A
cg01005760,black,C
cg01008082,black,C
cg01008919,grey,rest
cg01009686,grey,rest
cg01010298,black,C
cg01010618,red,A
cg01019600,red,A
cg01022618,grey,rest
cg01024350,black,C
cg01037726,grey,rest
cg01039990,red,A
cg01043588,red,A
cg01044189,black,C
cg01046746,red,A
cg01054612,black,C
cg01057599,red,A
cg01058688,black,C
cg01058932,grey,rest
cg01063406,grey,rest
cg01063768,black,C
cg01064194,grey,rest
cg01067505,grey,rest
cg01069311,grey,rest
cg01072750,black,C
cg01076406,black,C
cg01078706,red,A
cg01079126,red,A
cg01080862,red,A
cg01081720,red,A
cg01084328,black,C
cg01084827,red,A
cg01086868,red,A
cg01087287,grey,rest
cg01087775,red,A
cg01098518,grey,rest
cg01098871,red,A
cg01099541,red,A
cg01104131,black,C
cg01104810,black,C
cg01108554,red,A
cg01109012,grey,rest
cg01109660,purple,D
cg01110418,black,C
cg01110765,grey,rest
cg01112232,black,C
cg01112452,red,A
cg01112624,grey,rest
cg01112702,black,C
cg01112930,black,C
cg01114138,black,C
cg01114504,black,C
cg01115560,black,C
cg01115636,black,C
cg01118900,black,C
cg01119520,black,C
cg01119763,grey,rest
cg01121830,red,A
cg01123965,grey,rest
cg01125381,red,A
cg01127291,grey,rest
cg01127586,red,A
cg01131699,red,A
cg01131961,black,C
cg01134144,grey,rest
cg01134497,grey,rest
cg01135626,grey,rest
cg01137368,black,C
cg01138740,black,C
cg01143780,black,C
cg01145939,black,C
cg01151305,grey,rest
cg01162841,black,C
cg01162900,black,C
cg01166930,red,A
cg01169440,red,A
cg01169463,green,B
cg01172484,red,A
cg01173474,red,A
cg01173508,black,C
cg01177664,grey,rest
cg01177972,black,C
cg01178063,grey,rest
cg01186310,black,C
cg01191578,grey,rest
cg01193954,black,C
cg01195014,red,A
cg01203948,grey,rest
cg01207481,green,B
cg01207755,red,A
cg01210880,red,A
cg01212429,grey,rest
cg01212677,red,A
cg01212903,grey,rest
cg01218690,black,C
cg01220513,black,C
cg01222180,red,A
cg01225298,red,A
cg01228667,red,A
cg01231576,grey,rest
cg01241836,red,A
cg01243226,black,C
cg01244877,red,A
cg01245531,red,A
cg01257202,red,A
cg01279057,black,C
cg01280366,black,C
cg01282661,black,C
cg01283227,grey,rest
cg01286388,red,A
cg01288367,red,A
cg01289637,red,A
cg01293271,red,A
cg01293417,red,A
cg01301326,green,B
cg01302641,green,B
cg01306265,red,A
cg01307615,black,C
cg01307742,black,C
cg01308913,red,A
cg01309671,red,A
cg01314643,red,A
cg01316390,purple,D
cg01319581,black,C
cg01321220,black,C
cg01321830,grey,rest
cg01325935,black,C
cg01326358,black,C
cg01327767,black,C
cg01336098,black,C
cg01336631,black,C
cg01337545,grey,rest
cg01337817,grey,rest
cg01340520,grey,rest
cg01342901,red,A
cg01343084,grey,rest
cg01345087,red,A
cg01348758,red,A
cg01348942,black,C
cg01349336,grey,rest
cg01349480,black,C
cg01353347,red,A
cg01353903,grey,rest
cg01354447,black,C
cg01355242,grey,rest
cg01361446,grey,rest
cg01364253,grey,rest
cg01364907,grey,rest
cg01368763,black,C
cg01372422,grey,rest
cg01372992,red,A
cg01373750,black,C
cg01374885,grey,rest
cg01375263,grey,rest
cg01377936,grey,rest
cg01378112,grey,rest
cg01379263,black,C
cg01381545,red,A
cg01382771,grey,rest
cg01383228,grey,rest
cg01383599,purple,D
cg01384686,red,A
cg01386236,red,A
cg01396530,green,B
cg01398148,black,C
cg01398859,red,A
cg01398912,red,A
cg01404374,black,C
cg01408383,red,A
cg01409685,black,C
cg01410230,red,A
cg01413291,black,C
cg01415112,red,A
cg01423027,green,B
cg01426251,black,C
cg01430241,red,A
cg01445307,red,A
cg01448525,black,C
cg01460974,grey,rest
cg01461762,red,A
cg01462040,red,A
cg01465073,grey,rest
cg01466335,grey,rest
cg01466576,black,C
cg01467086,black,C
cg01467249,black,C
cg01472026,red,A
cg01473187,grey,rest
cg01473525,purple,D
cg01479413,red,A
cg01480550,red,A
cg01486020,red,A
cg01488378,red,A
cg01490258,green,B
cg01494339,black,C
cg01498090,grey,rest
cg01501252,green,B
cg01514943,grey,rest
cg01522335,grey,rest
cg01523763,black,C
cg01523865,red,A
cg01528616,black,C
cg01528835,black,C
cg01529679,black,C
cg01530162,grey,rest
cg01530521,red,A
cg01537968,red,A
cg01540386,red,A
cg01540916,black,C
cg01542035,black,C
cg01545419,black,C
cg01556010,red,A
cg01556112,grey,rest
cg01558501,red,A
cg01559064,black,C
cg01560464,red,A
cg01560885,grey,rest
cg01562833,red,A
cg01563671,grey,rest
cg01564045,black,C
cg01564333,black,C
cg01564693,black,C
cg01567000,red,A
cg01568488,black,C
cg01575816,red,A
cg01576669,black,C
cg01577745,black,C
cg01579322,red,A
cg01581349,black,C
cg01589255,red,A
cg01592490,black,C
cg01593269,red,A
cg01596349,red,A
cg01597947,grey,rest
cg01598357,grey,rest
cg01607721,black,C
cg01609611,grey,rest
cg01627510,black,C
cg01634761,red,A
cg01640808,red,A
cg01645836,black,C
cg01647019,grey,rest
cg01651728,black,C
cg01662650,black,C
cg01663055,black,C
cg01669374,red,A
cg01673753,grey,rest
cg01674874,grey,rest
cg01679167,green,B
cg01680245,black,C
cg01683788,red,A
cg01698523,grey,rest
cg01704778,black,C
cg01713430,grey,rest
cg01716666,red,A
cg01717812,red,A
cg01718602,red,A
cg01725669,black,C
cg01730177,black,C
cg01730928,red,A
cg01731542,black,C
cg01733439,red,A
cg01737550,grey,rest
cg01740135,grey,rest
cg01742164,grey,rest
cg01747155,red,A
cg01747278,black,C
cg01752030,green,B
cg01752898,red,A
cg01755224,grey,rest
cg01756638,red,A
cg01758418,red,A
cg01760027,grey,rest
cg01760227,black,C
cg01765758,grey,rest
cg01768144,black,C
cg01771673,red,A
cg01776229,red,A
cg01776396,black,C
cg01780361,red,A
cg01786460,grey,rest
cg01786967,grey,rest
cg01792733,black,C
cg01794548,black,C
cg01796247,grey,rest
cg01798163,black,C
cg01807688,black,C
cg01809408,red,A
cg01813224,green,B
cg01813276,black,C
cg01816615,grey,rest
cg01817069,red,A
cg01817230,black,C
cg01818727,grey,rest
cg01821005,black,C
cg01821772,black,C
cg01823238,green,B
cg01824095,black,C
cg01826283,red,A
cg01828434,red,A
cg01829822,black,C
cg01831944,grey,rest
cg01834528,black,C
cg01843978,grey,rest
cg01847754,grey,rest
cg01851385,grey,rest
cg01852560,red,A
cg01852992,black,C
cg01854931,black,C
cg01855997,red,A
cg01856640,grey,rest
cg01857704,grey,rest
cg01859586,green,B
cg01864032,grey,rest
cg01866066,black,C
cg01868753,red,A
cg01871025,grey,rest
cg01872771,black,C
cg01874426,black,C
cg01881753,black,C
cg01882566,grey,rest
cg01884384,red,A
cg01885202,red,A
cg01886630,red,A
cg01886810,black,C
cg01887353,red,A
cg01887803,black,C
cg01888389,grey,rest
cg01892695,black,C
cg01893797,grey,rest
cg01896298,grey,rest
cg01905377,grey,rest
cg01906946,purple,D
cg01908742,black,C
cg01909378,black,C
cg01910452,red,A
cg01911846,red,A
cg01912769,black,C
cg01916066,grey,rest
cg01918534,black,C
cg01923531,black,C
cg01924982,black,C
cg01927625,black,C
cg01932223,grey,rest
cg01947226,red,A
cg01948589,red,A
cg01951307,black,C
cg01954531,grey,rest
cg01959381,black,C
cg01960534,black,C
cg01961936,black,C
cg01962233,grey,rest
cg01962414,black,C
cg01963147,black,C
cg01970554,red,A
cg01971322,grey,rest
cg01975035,black,C
cg01975591,green,B
cg01980778,grey,rest
cg01984250,grey,rest
cg01985071,black,C
cg01986775,black,C
cg01987196,black,C
cg01988541,black,C
cg01990106,grey,rest
cg01993928,black,C
cg01994890,black,C
cg01996723,grey,rest
cg01996909,black,C
cg01997953,red,A
cg02007259,black,C
cg02012821,red,A
cg02014085,black,C
cg02019068,black,C
cg02019635,black,C
cg02020018,black,C
cg02022247,grey,rest
cg02023473,grey,rest
cg02025065,red,A
cg02026371,black,C
cg02031392,grey,rest
cg02032561,red,A
cg02033323,black,C
cg02035698,grey,rest
cg02041067,red,A
cg02042142,red,A
cg02042698,black,C
cg02048654,grey,rest
cg02053896,grey,rest
cg02054710,grey,rest
cg02055404,red,A
cg02058632,grey,rest
cg02059755,grey,rest
cg02060618,grey,rest
cg02061213,red,A
cg02063752,grey,rest
cg02068976,black,C
cg02077027,red,A
cg02079156,black,C
cg02082650,grey,rest
cg02095003,red,A
cg02095995,red,A
cg02096520,black,C
cg02110822,black,C
cg02112649,red,A
cg02116333,red,A
cg02117996,red,A
cg02120013,red,A
cg02120046,red,A
cg02121672,grey,rest
cg02124085,black,C
cg02129889,red,A
cg02132188,red,A
cg02144050,black,C
cg02148711,red,A
cg02150469,red,A
cg02151408,black,C
cg02154531,black,C
cg02155838,red,A
cg02161824,red,A
cg02165720,red,A
cg02166601,grey,rest
cg02167358,grey,rest
cg02167456,black,C
cg02168925,black,C
cg02169289,grey,rest
cg02171705,green,B
cg02173072,black,C
cg02177607,grey,rest
cg02179029,black,C
cg02179438,red,A
cg02179880,red,A
cg02180347,grey,rest
cg02180505,grey,rest
cg02183297,black,C
cg02184147,black,C
cg02185190,grey,rest
cg02187432,red,A
cg02188048,grey,rest
cg02189483,black,C
cg02190600,grey,rest
cg02193580,grey,rest
cg02195925,black,C
cg02198544,black,C
cg02200373,red,A
cg02205962,red,A
cg02211869,black,C
cg02212907,black,C
cg02213813,red,A
cg02215374,grey,rest
cg02216057,black,C
cg02226388,black,C
cg02232536,red,A
cg02232922,grey,rest
cg02233493,grey,rest
cg02263204,black,C
cg02263509,black,C
cg02263675,red,A
cg02263717,green,B
cg02264182,red,A
cg02264284,red,A
cg02265919,red,A
cg02266197,red,A
cg02272668,black,C
cg02273788,black,C
cg02275016,grey,rest
cg02275924,grey,rest
cg02279124,grey,rest
cg02279464,red,A
cg02283106,grey,rest
cg02288017,grey,rest
cg02308199,grey,rest
cg02311013,black,C
cg02318959,red,A
cg02326006,red,A
cg02329520,grey,rest
cg02336608,red,A
cg02341380,black,C
cg02345317,black,C
cg02350883,black,C
cg02352295,grey,rest
cg02362246,green,B
cg02366635,black,C
cg02370478,black,C
cg02379437,red,A
cg02388446,black,C
cg02392508,black,C
cg02395364,red,A
cg02396917,black,C
cg02402307,grey,rest
cg02413104,black,C
cg02416822,grey,rest
cg02419467,black,C
cg02424254,black,C
cg02424670,black,C
cg02425869,black,C
cg02433685,grey,rest
cg02433927,green,B
cg02437314,black,C
cg02438576,grey,rest
cg02442693,grey,rest
cg02447370,red,A
cg02454309,red,A
cg02456261,red,A
cg02457752,black,C
cg02458532,red,A
cg02459151,black,C
cg02459704,red,A
cg02469604,black,C
cg02471578,black,C
cg02490931,black,C
cg02492445,red,A
cg02492740,red,A
cg02495057,black,C
cg02495445,black,C
cg02497062,grey,rest
cg02498747,grey,rest
cg02501924,red,A
cg02504617,black,C
cg02505036,grey,rest
cg02506527,green,B
cg02512611,grey,rest
cg02514307,black,C
cg02523105,red,A
cg02529390,black,C
cg02534780,grey,rest
cg02537091,black,C
cg02543363,grey,rest
cg02546818,green,B
cg02547155,black,C
cg02547167,black,C
cg02547323,red,A
cg02549418,black,C
cg02559685,red,A
cg02560273,black,C
cg02564124,black,C
cg02569468,black,C
cg02573613,red,A
cg02575859,green,B
cg02576548,black,C
cg02579620,red,A
cg02581727,red,A
cg02582887,black,C
cg02583883,red,A
cg02586883,green,B
cg02587153,red,A
cg02588867,black,C
cg02590287,green,B
cg02590710,grey,rest
cg02597128,red,A
cg02600622,green,B
cg02602300,grey,rest
cg02603022,red,A
cg02604836,grey,rest
cg02611122,red,A
cg02616434,black,C
cg02616921,black,C
cg02620228,green,B
cg02625237,black,C
cg02626719,red,A
cg02629615,grey,rest
cg02629737,red,A
cg02634141,grey,rest
cg02634916,red,A
cg02637882,grey,rest
cg02644889,black,C
cg02645343,red,A
cg02647042,grey,rest
cg02647401,red,A
cg02649608,red,A
cg02651788,red,A
cg02665388,grey,rest
cg02671603,grey,rest
cg02690554,grey,rest
cg02693068,purple,D
cg02698615,red,A
cg02699127,grey,rest
cg02710173,black,C
cg02712399,black,C
cg02714492,red,A
cg02725485,black,C
cg02725692,red,A
cg02726808,black,C
cg02732801,red,A
cg02733596,black,C
cg02733659,grey,rest
cg02734755,red,A
cg02741829,red,A
cg02742139,red,A
cg02742990,red,A
cg02743552,black,C
cg02752267,grey,rest
cg02754763,black,C
cg02756254,black,C
cg02756511,red,A
cg02758183,black,C
cg02764898,black,C
cg02769235,black,C
cg02770794,red,A
cg02772823,grey,rest
cg02773050,red,A
cg02773151,red,A
cg02774269,black,C
cg02775256,black,C
cg02779592,grey,rest
cg02779729,grey,rest
cg02784144,grey,rest
cg02791948,grey,rest
cg02799972,red,A
cg02804166,red,A
cg02804708,black,C
cg02804757,red,A
cg02805922,red,A
cg02809570,grey,rest
cg02811156,black,C
cg02812399,grey,rest
cg02814558,black,C
cg02817683,grey,rest
cg02818322,grey,rest
cg02819256,red,A
cg02830187,grey,rest
cg02830744,black,C
cg02830865,grey,rest
cg02831668,black,C
cg02834125,black,C
cg02835735,black,C
cg02836821,grey,rest
cg02847500,red,A
cg02853686,red,A
cg02855049,black,C
cg02856792,red,A
cg02857405,black,C
cg02858817,grey,rest
cg02860323,black,C
cg02868201,black,C
cg02871887,red,A
cg02878966,black,C
cg02879659,black,C
cg02880544,black,C
cg02881531,black,C
cg02882301,red,A
cg02890529,black,C
cg02892589,green,B
cg02893780,grey,rest
cg02895192,red,A
cg02896496,red,A
cg02902015,red,A
cg02904064,black,C
cg02904184,grey,rest
cg02907689,black,C
cg02910451,grey,rest
cg02914047,black,C
cg02915422,red,A
cg02921294,grey,rest
cg02923300,black,C
cg02924298,grey,rest
cg02931660,grey,rest
cg02934281,red,A
cg02939216,black,C
cg02940028,red,A
cg02940221,red,A
cg02944422,red,A
cg02949713,black,C
cg02952729,red,A
cg02953041,black,C
cg02969243,red,A
cg02971064,black,C
cg02973734,black,C
cg02973971,red,A
cg02975846,red,A
cg02977829,black,C
cg02981877,green,B
cg02989381,grey,rest
cg02991082,green,B
cg02992767,black,C
cg02992777,black,C
cg02994237,grey,rest
cg02998206,black,C
cg02998933,grey,rest
cg02999370,black,C
cg03003036,black,C
cg03003060,green,B
cg03005718,black,C
cg03008405,red,A
cg03010388,red,A
cg03019024,red,A
cg03019842,green,B
cg03020597,red,A
cg03021892,black,C
cg03022736,black,C
cg03022791,black,C
cg03025340,black,C
cg03025760,black,C
cg03026311,red,A
cg03027462,black,C
cg03028216,red,A
cg03028851,black,C
cg03031520,black,C
cg03035653,red,A
cg03038395,red,A
cg03039483,red,A
cg03040210,red,A
cg03043911,black,C
cg03044250,black,C
cg03046946,red,A
cg03050491,red,A
cg03056849,red,A
cg03057808,red,A
cg03058616,grey,rest
cg03060488,black,C
cg03073000,grey,rest
cg03088756,grey,rest
cg03089994,grey,rest
cg03090449,black,C
cg03094405,black,C
cg03096488,red,A
cg03100992,grey,rest
cg03101044,black,C
cg03121419,grey,rest
cg03122476,black,C
cg03122511,red,A
cg03130686,black,C
cg03147775,red,A
cg03149049,green,B
cg03157806,red,A
cg03159767,black,C
cg03159836,green,B
cg03161453,purple,D
cg03164831,red,A
cg03165260,black,C
cg03166428,black,C
cg03169432,green,B
cg03172171,red,A
cg03174501,black,C
cg03176466,red,A
cg03181214,red,A
cg03183106,black,C
cg03184366,black,C
cg03188519,grey,rest
cg03191083,black,C
cg03191149,black,C
cg03191359,red,A
cg03198117,grey,rest
cg03201658,grey,rest
cg03204600,grey,rest
cg03210191,black,C
cg03210912,red,A
cg03211244,black,C
cg03212133,red,A
cg03213502,black,C
cg03221436,grey,rest
cg03223687,black,C
cg03244736,purple,D
cg03248529,black,C
cg03250346,red,A
cg03250911,red,A
cg03252296,purple,D
cg03266942,red,A
cg03267667,green,B
cg03267787,black,C
cg03269770,grey,rest
cg03273606,red,A
cg03273615,red,A
cg03273694,red,A
cg03273860,black,C
cg03274069,grey,rest
cg03278754,black,C
cg03289972,grey,rest
cg03291819,grey,rest
cg03305185,red,A
cg03310203,red,A
cg03313909,black,C
cg03315531,black,C
cg03317455,red,A
cg03319489,red,A
cg03321558,purple,D
cg03323167,black,C
cg03325532,black,C
cg03327000,red,A
cg03328165,grey,rest
cg03329583,black,C
cg03331695,grey,rest
cg03332892,grey,rest
cg03341064,grey,rest
cg03345068,grey,rest
cg03350825,green,B
cg03350932,grey,rest
cg03351894,grey,rest
cg03353482,red,A
cg03357510,black,C
cg03359503,grey,rest
cg03361581,black,C
cg03369029,black,C
cg03369828,black,C
cg03370682,black,C
cg03372815,red,A
cg03375088,grey,rest
cg03382925,green,B
cg03422380,red,A
cg03423123,red,A
cg03424637,red,A
cg03424927,black,C
cg03426344,grey,rest
cg03435878,red,A
cg03445679,grey,rest
cg03445896,black,C
cg03447800,red,A
cg03448884,black,C
cg03449040,black,C
cg03450733,red,A
cg03455762,grey,rest
cg03460546,red,A
cg03460558,red,A
cg03464416,red,A
cg03464883,black,C
cg03465562,black,C
cg03465847,green,B
cg03469514,grey,rest
cg03470745,red,A
cg03477368,black,C
cg03478540,green,B
cg03478816,grey,rest
